ID,PXD,Raw Data File,Characteristics[CleavageAgent],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[Modification].4,Characteristics[Modification].5,Characteristics[Modification].6,Characteristics[Organism],Characteristics[OrganismPart],Characteristics[ReductionReagent],Characteristics[Specimen],Characteristics[Treatment],FactorValue[Treatment],Comment[AcquisitionMethod],Comment[EnrichmentMethod],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GrowthRate],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionIdentifier],Comment[GradientTime],Comment[NumberOfFractions],Usage
1642,PXD061285,mousebrain-WT-CL47-IgG-control-3_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1643,PXD061285,mousebrain-WT-CL47-IgG-control-3_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-IgG pull down,Anti-IgG pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1644,PXD061285,mousebrain-WT-CL47-T9AC2-gp1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” gp 1 pull down,anti-TMEM9 “T9AC2” gp 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1645,PXD061285,mousebrain-WT-CL47-T9AC2-gp1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” gp 1 pull down,anti-TMEM9 “T9AC2” gp 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1646,PXD061285,mousebrain-WT-CL47-T9AC2-rb1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1647,PXD061285,mousebrain-WT-CL47-T9AC2-rb1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1648,PXD061285,mousebrain-WT-CL47-T9AC2-rb2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9AC2” rb 2 pull down, anti-TMEM9 “T9AC2” rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1649,PXD061285,mousebrain-WT-CL47-T9AC2-rb2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9AC2” rb 2 pull down, anti-TMEM9 “T9AC2” rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1650,PXD061285,mousebrain-WT-CL47-T9Act-rb2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9Act”-rb 2 pull down, anti-TMEM9 “T9Act”-rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1651,PXD061285,mousebrain-WT-CL47-T9Act-rb2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue, anti-TMEM9 “T9Act”-rb 2 pull down, anti-TMEM9 “T9Act”-rb 2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1652,PXD061285,mousebrain-WT-CL47-T9BC1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC1” pull down,anti-TMEM9B “T9BC1” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1653,PXD061285,mousebrain-WT-CL47-T9BC1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC1” pull down,anti-TMEM9B “T9BC1” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1654,PXD061285,mousebrain-WT-CL47-T9BC2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1655,PXD061285,mousebrain-WT-CL47-T9BC2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1656,PXD061285,mousebrain-WT-CL47-T9Bct-gp2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BCt”-gp2 pull down,anti-TMEM9B “T9BCt”-gp2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1657,PXD061285,mousebrain-WT-CL47-T9Bct-gp2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BCt”-gp2 pull down,anti-TMEM9B “T9BCt”-gp2 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1658,PXD061285,mousebrain-WT-CL47-T9B-Proteintech-24331-1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1659,PXD061285,mousebrain-WT-CL47-T9B-Proteintech-24331-1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
