source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD031991-Sample-106	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 106	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_002_01.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-107	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 107	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_18_04_CID_Thalassiossira.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-108	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 108	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_11_03_HCD_Physcomitrella.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-109	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 109	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_03_01_Dicty1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-110	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 110	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_12_01_PhyscoIV_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-111	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 111	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_32_01_Sycon1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-112	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 112	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_008_01.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-113	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 113	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_32_04_CID_Sycon.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-114	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 114	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_02_02_Naeg2_CID_Fusion.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-115	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 115	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_06_03_HCD_Homo.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-116	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 116	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150508_S_ASIR_02_01_Capsa1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-117	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 117	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_29_01_Creo2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-118	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 118	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_30_01_Corallo1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-119	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 119	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_20_01_Bige2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-120	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 120	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_37_04_CID_Thecamonas.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-121	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 121	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_01_03_HCD_Bigelowiella.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-122	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 122	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_03_01_Dicty1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-123	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 123	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_29_01_Creo2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-124	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 124	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150218_S_ASIR_14_01_Capsa2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-125	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 125	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_15_01_Phyto3_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-126	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 126	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_01_01_Bigello_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-127	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 127	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_28_01_Creo1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-128	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 128	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_16_01_Phyto4_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-129	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 129	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160308_S_Histone_Sycon1_PIC_01_01_2ug_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-130	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 130	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_37_01_Theca1_old_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
