source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000605-Sample-287	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 72	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_44.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-288	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 72	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_44.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-289	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-290	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-291	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-292	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 73	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-293	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-294	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-295	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-296	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 74	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-297	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-298	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-299	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-300	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 75	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-301	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 76	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-302	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 76	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-303	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 76	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-304	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 76	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_6.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-305	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 77	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-306	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 77	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-307	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 77	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-308	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 77	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_7.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-309	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 78	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_4.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-310	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 78	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_4.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-311	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 78	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_4.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-312	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 78	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_4.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-313	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-314	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-315	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-316	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 79	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-317	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-318	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-319	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-320	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 80	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-321	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-322	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-323	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-324	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 81	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_48.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-325	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-326	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-327	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-328	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 82	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp2_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-329	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-330	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-331	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-332	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 83	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp3_22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-333	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 84	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-334	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 84	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-335	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 84	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	not applicable	10 ppm	0.6 Da	orbitrap	EH_Exp1_34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
