field,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
reduction_concentration,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
ptm,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,1.0
number_of_biological_replicates,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_technical_replicates,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_fractions,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
factor_value,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
experimental_design,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_samples,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
biological_replicate,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
technical_replicate,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
technology_type,experimental_design,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
species,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
tissue,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
disease_state,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
cell_type,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
cell_line,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
sex,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
age,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
sample_source,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
anatomic_site_tumor,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
BMI,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
strain,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
developmental_stage,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
ethnicity,biological,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
acquisition_method,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
instrument,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
labeling,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
fragmentation_method,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
cleavage_agent,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
enrichment_method,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
fractionation_method,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
reduction_reagent,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
alkylation_reagent,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
collision_energy,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
ionization_type,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
mass_analyzer,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
alkylation_concentration,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
reduction_concentration,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
ptm,technical,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
number_of_biological_replicates,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_technical_replicates,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_fractions,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
factor_value,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
experimental_design,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_samples,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
biological_replicate,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
technical_replicate,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
technology_type,experimental_design,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
species,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,-0.5
tissue,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
disease_state,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.2
cell_type,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
cell_line,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
sex,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
age,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
sample_source,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
anatomic_site_tumor,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
BMI,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
strain,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
developmental_stage,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
ethnicity,biological,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
acquisition_method,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
instrument,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
labeling,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fragmentation_method,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
cleavage_agent,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
enrichment_method,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fractionation_method,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
reduction_reagent,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
alkylation_reagent,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
collision_energy,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
ionization_type,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.5
mass_analyzer,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
alkylation_concentration,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
reduction_concentration,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
ptm,technical,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
number_of_biological_replicates,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_technical_replicates,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_fractions,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
factor_value,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,1.0
experimental_design,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_samples,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
biological_replicate,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.0
technical_replicate,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
technology_type,experimental_design,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,
species,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
tissue,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
disease_state,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
cell_type,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
cell_line,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
sex,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
age,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
sample_source,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
anatomic_site_tumor,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
BMI,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
strain,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
developmental_stage,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
ethnicity,biological,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
acquisition_method,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
instrument,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
labeling,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fragmentation_method,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
cleavage_agent,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
enrichment_method,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fractionation_method,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
reduction_reagent,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.5
alkylation_reagent,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.5
collision_energy,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
ionization_type,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,1.0
mass_analyzer,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
alkylation_concentration,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
reduction_concentration,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
ptm,technical,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.5
number_of_biological_replicates,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_technical_replicates,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
number_of_fractions,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
factor_value,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.2
experimental_design,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_samples,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
biological_replicate,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
technical_replicate,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
technology_type,experimental_design,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.0
species,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.2
tissue,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.2
disease_state,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,1.0
cell_type,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
cell_line,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
sex,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.5
age,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,1.0
sample_source,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
anatomic_site_tumor,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
BMI,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
strain,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
developmental_stage,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
ethnicity,biological,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
acquisition_method,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,1.0
instrument,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
labeling,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fragmentation_method,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
cleavage_agent,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
enrichment_method,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
fractionation_method,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
reduction_reagent,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
alkylation_reagent,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
collision_energy,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
ionization_type,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
mass_analyzer,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
alkylation_concentration,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
reduction_concentration,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
ptm,technical,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
number_of_biological_replicates,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_technical_replicates,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_fractions,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
factor_value,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
experimental_design,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
number_of_samples,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.5
biological_replicate,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
technical_replicate,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.0
technology_type,experimental_design,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,
species,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.0
tissue,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-8.326672684688674e-17
disease_state,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.39999999999999986
cell_type,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
cell_line,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,1.0
sex,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
age,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
sample_source,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
anatomic_site_tumor,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
BMI,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
strain,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
developmental_stage,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
ethnicity,biological,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
acquisition_method,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,1.0
instrument,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
labeling,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
fragmentation_method,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
cleavage_agent,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
enrichment_method,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-3.3306690738754706e-16
fractionation_method,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.0
reduction_reagent,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.0
alkylation_reagent,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.0
collision_energy,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-8.326672684688674e-17
ionization_type,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.0
mass_analyzer,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-3.3306690738754706e-16
alkylation_concentration,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
reduction_concentration,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
ptm,technical,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,1.0
number_of_biological_replicates,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
number_of_technical_replicates,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-3.3306690738754706e-16
number_of_fractions,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
factor_value,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,1.0
experimental_design,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
number_of_samples,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-0.5000000000000001
biological_replicate,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,-3.3306690738754706e-16
technical_replicate,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
technology_type,experimental_design,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,
species,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
tissue,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
disease_state,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
cell_type,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
cell_line,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
sex,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
age,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
sample_source,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
anatomic_site_tumor,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
BMI,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
strain,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
developmental_stage,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
ethnicity,biological,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
acquisition_method,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
instrument,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
labeling,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
fragmentation_method,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
cleavage_agent,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
enrichment_method,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
fractionation_method,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
reduction_reagent,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
alkylation_reagent,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
collision_energy,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
ionization_type,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
mass_analyzer,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
alkylation_concentration,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
reduction_concentration,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
ptm,technical,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
number_of_biological_replicates,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
number_of_technical_replicates,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
number_of_fractions,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
factor_value,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.0
experimental_design,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
number_of_samples,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,1.0
biological_replicate,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
technical_replicate,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
technology_type,experimental_design,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,
species,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
tissue,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
disease_state,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
cell_type,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
cell_line,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
sex,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
age,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
sample_source,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
anatomic_site_tumor,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
BMI,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
strain,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
developmental_stage,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
ethnicity,biological,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
acquisition_method,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
instrument,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
labeling,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
fragmentation_method,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
cleavage_agent,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
enrichment_method,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
fractionation_method,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
reduction_reagent,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
alkylation_reagent,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
collision_energy,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
ionization_type,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
mass_analyzer,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
alkylation_concentration,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
reduction_concentration,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
ptm,technical,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
number_of_biological_replicates,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
number_of_technical_replicates,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
number_of_fractions,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
factor_value,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
experimental_design,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
number_of_samples,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.0
biological_replicate,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
technical_replicate,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
technology_type,experimental_design,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,
species,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.0
tissue,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.0
disease_state,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
cell_type,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.0
cell_line,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
sex,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
age,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
sample_source,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
anatomic_site_tumor,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
BMI,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
strain,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
developmental_stage,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
ethnicity,biological,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
acquisition_method,technical,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.0
instrument,technical,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,
labeling,technical,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,1.0
fragmentation_method,technical,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.0
