source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014145-Sample-78	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-79	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-80	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA387.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-81	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-82	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-83	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-84	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-85	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-86	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-87	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-88	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-89	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-90	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA388.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-91	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-92	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-93	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-94	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-95	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-96	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-97	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-98	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-99	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-100	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA389.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-101	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-102	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-103	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-104	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-105	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-106	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-107	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-108	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-109	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-110	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA390.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-111	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-112	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-113	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-114	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-115	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-116	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA391.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
